Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
9.6,1,0.0,0.0,9.6,0,0.0,0
213.7,1001,0.0,0.0,213.7,1,0.0,0
500.0,2001,0.0,0.0,500.0,2,0.0,0
340.7,3001,0.0,0.0,340.7,3,0.0,0
433.4,4001,0.0,0.0,433.4,4,0.0,0
490.3,5001,0.0,0.0,490.3,5,0.0,0
32.3,6001,0.0,0.0,32.3,6,0.0,0
401.8,7001,0.0,0.0,401.8,7,0.0,0
65.7,8001,0.0,0.0,65.7,8,0.0,0
356.5,9001,0.0,0.0,356.5,9,0.0,0
270.9,10001,0.0,0.0,270.9,10,0.0,0
433.1,11001,0.0,0.0,433.1,11,0.0,0
430.6,12001,0.0,0.0,430.6,12,0.0,0
391.7,13001,0.0,0.0,391.7,13,0.0,0
205.4,14001,0.0,0.0,205.4,14,0.0,0
450.3,15001,0.0,0.0,450.3,15,0.0,0
458.4,16001,0.0,0.0,458.4,16,0.0,0
500.0,17001,0.0,0.0,500.0,17,0.0,0
500.0,18001,0.0,0.0,500.0,18,0.0,0
498.5,19001,0.0,0.0,498.5,19,0.0,0
500.0,20001,0.0,0.0,500.0,20,0.0,0
395.7,21001,0.0,0.0,395.7,21,0.0,0
418.2,22001,0.0,0.0,418.2,22,0.0,0
495.5,23001,0.0,0.0,495.5,23,0.0,0
282.2,24001,0.0,0.0,282.2,24,0.0,0
500.0,25001,0.0,0.0,500.0,25,0.0,0
500.0,26001,0.0,0.0,500.0,26,0.0,0
471.2,27001,0.0,0.0,471.2,27,0.0,0
492.8,28001,0.0,0.0,492.8,28,0.0,0
350.3,29001,0.0,0.0,350.3,29,0.0,0
