Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL,Real Sto Return,Itration,Reward Loss,Running Update Time
-1231.8185,1,0.0,0.0,-1231.8185,0,0.0,0
-1130.9,5001,0.0,0.0,-1130.9,1,0.0,0
-203.5537,10001,0.0,0.0,-203.5537,2,0.0,0
-213.333,15001,0.0,0.0,-213.333,3,0.0,0
-216.9015,20001,0.0,0.0,-216.9015,4,0.0,0
-137.7733,25001,0.0,0.0,-137.7733,5,0.0,0
-120.5971,30001,0.0,0.0,-120.5971,6,0.0,0
-195.3849,35001,0.0,0.0,-195.3849,7,0.0,0
-173.1869,40001,0.0,0.0,-173.1869,8,0.0,0
-152.9123,45001,0.0,0.0,-152.9123,9,0.0,0
-177.8476,50001,0.0,0.0,-177.8476,10,0.0,0
-185.1865,55001,0.0,0.0,-185.1865,11,0.0,0
-144.7784,60001,0.0,0.0,-144.7784,12,0.0,0
-229.4882,65001,0.0,0.0,-229.4882,13,0.0,0
-191.7805,70001,0.0,0.0,-191.7805,14,0.0,0
-157.2935,75001,0.0,0.0,-157.2935,15,0.0,0
-138.0516,80001,0.0,0.0,-138.0516,16,0.0,0
-164.0571,85001,0.0,0.0,-164.0571,17,0.0,0
-220.3723,90001,0.0,0.0,-220.3723,18,0.0,0
-135.4762,95001,0.0,0.0,-135.4762,19,0.0,0
-177.7871,100001,0.0,0.0,-177.7871,20,0.0,0
-167.4631,105001,0.0,0.0,-167.4631,21,0.0,0
-307.6985,110001,0.0,0.0,-307.6985,22,0.0,0
-157.7093,115001,0.0,0.0,-157.7093,23,0.0,0
-263.4041,120001,0.0,0.0,-263.4041,24,0.0,0
-197.0293,125001,0.0,0.0,-197.0293,25,0.0,0
-235.4157,130001,0.0,0.0,-235.4157,26,0.0,0
-238.7777,135001,0.0,0.0,-238.7777,27,0.0,0
-246.1575,140001,0.0,0.0,-246.1575,28,0.0,0
-228.8477,145001,0.0,0.0,-228.8477,29,0.0,0
-201.7068,150001,0.0,0.0,-201.7068,30,0.0,0
-215.6569,155001,0.0,0.0,-215.6569,31,0.0,0
-231.7756,160001,0.0,0.0,-231.7756,32,0.0,0
-266.275,165001,0.0,0.0,-266.275,33,0.0,0
-219.5763,170001,0.0,0.0,-219.5763,34,0.0,0
-283.1815,175001,0.0,0.0,-283.1815,35,0.0,0
-219.5179,180001,0.0,0.0,-219.5179,36,0.0,0
-178.4572,185001,0.0,0.0,-178.4572,37,0.0,0
-187.7008,190001,0.0,0.0,-187.7008,38,0.0,0
-227.9417,195001,0.0,0.0,-227.9417,39,0.0,0
