actor_entropy,actor_loss,critic_loss,duration,episode,episode_reward,step,target_entropy
-0.40476188354500353,0.17375400376646485,-0.12365927827888973,2.546412944793701,50.0,75.0,74,-1.0
-1.0136956106871367,0.5461369235999882,-0.22284352034330368,1.9330451488494873,51.0,64.0,138,-1.0
-1.605907625165479,0.4773386439372753,-0.24377637844661187,0.7127408981323242,52.0,29.0,167,-1.0
-1.9102799581444783,0.4143367409706116,-0.21692345518132913,0.5449390411376953,53.0,23.0,190,-1.0
-2.3875874819820875,0.46343169065370954,-0.24222685192545798,1.7469520568847656,54.0,73.0,263,-1.0
-2.109745267837767,0.5169791872539218,-0.2406954202387068,1.568629264831543,55.0,63.0,326,-1.0
-2.057308632030822,0.45894271239899753,-0.23843292525985785,1.4834375381469727,56.0,57.0,383,-1.0
-2.0484053354070646,0.4459736476642917,-0.2477938441014049,2.535952568054199,57.0,99.0,482,-1.0
-2.323687117960718,0.449934597644541,-0.24633601701094043,2.0610482692718506,58.0,72.0,554,-1.0
-1.9203840038640712,0.5037272766353639,-0.25491898779462024,3.6280086040496826,59.0,123.0,677,-1.0
-1.7609223078240406,0.5623965148742383,-0.24829364436995852,4.362868547439575,60.0,182.0,859,-1.0
-1.9082785767893637,0.6332622862631275,-0.255407002824609,2.258419990539551,61.0,93.0,952,-1.0
-1.6999438881874085,0.7221492223441601,-0.2548322010785341,5.950499057769775,62.0,160.0,1113,-1.0
-1.887385063194202,0.81753375085347,-0.24876759105036703,5.1924450397491455,63.0,209.0,1322,-1.0
-1.6968793488142402,0.9562360159589047,-0.25310341729415403,6.116857290267944,64.0,241.0,1563,-1.0
-1.4102173129717508,1.1161122878392538,-0.25429020325342816,0.9454662799835205,65.0,30.0,1593,-1.0
-1.3327442040810218,1.1381259514735296,-0.2527322218968318,0.3911774158477783,66.0,13.0,1606,-1.0
-1.867402264705071,1.2282323254333747,-0.258722673282846,8.998709201812744,67.0,364.0,1970,-1.0
-1.7764384951747831,1.3849113036374576,-0.2575523811774176,7.017600059509277,68.0,122.0,2093,-1.0
-1.980894546759756,1.4864095763156289,-0.27871852485757126,0.4541354179382324,69.0,19.0,2112,-1.0
-2.19164900914678,1.4766985497384701,-0.2564672824346794,6.279133081436157,70.0,265.0,2377,-1.0
